á	aː
dhual	ˈ ɣ ua l̻ˠ
dhubh	ˈ ɣ uː
dhuine	ˈ ɣ i nʲ ə
dhul	ɣ u l̻ˠ
dian	ˈ dʲ ia n̻ˠ
díbirt	ˈ dʲ iː bʲ ə ɾˠ tʲ
di	ˈ d̪ˠ i
difríocht	ˈ dʲ i fʲ ɾʲ iː a x t̪ˠ
dimigh	ˈ dʲ i mʲ iː
dinis	ˈ dʲ i nʲ ə ʃ
díobháil	ˈ dʲ iː vˠ a lʲ
díobhála	dʲ iː vˠ aː l̻ˠ ə
díobh	ˈ dʲ iː vˠ
díoladh	dʲ iː l̻ˠ uː
díol	ˈ dʲ iː l̻ˠ
diompaigh	dʲ i mˠ pˠ iː
diompaíodar	dʲ i mˠ pˠ ia d̪ˠ ə ɾˠ
díreach	ˈ dʲ iː ɾʲ a h
d'ithe	dʲ iː
dlí	ˈ dʲ lʲ iː
dlíthe	dʲ lʲ iː hʲ ə
d'obair	d̪ˠ o bˠ ə ɾʲ
dócha	ˈ d̪ˠ oː x ə
do	ˈ d̪ˠ ə
dó	ˈ d̪ˠ oː
dóibh	ˈ d̪ˠ oː vʲ
dóic	d̪ˠ oː c
d'óladh	d̪ˠ oː l̻ˠ uː
dom	ˈ d̪ˠ uː
domhan	ˈ d̪ˠ au n̻ˠ
donas	ˈ d̪ˠ o n̻ˠ ə sˠ
don	ˈ d̪ˠ o n̻ˠ
droch	ˈ d̪ˠ ɾˠ o h
dronnaí	d̪ˠ ɾˠ o n̻ˠ iː
drún	d̪ˠ ɾˠ uː n̻ˠ
dtabharfadh	ˈ d̪ˠ oː ɾˠ uː
