á	aː
dtabharfaí	d̪ˠ oː ɾˠ ə fˠ iː
dtabharfainn	d̪ˠ oː ɾ̥ˠ ə n̻ʲ
dtaca	ˈ d̪ˠ a k ə
dtachtfadh	d̪ˠ a ɾˠ t̪ˠ uː
dtagadh	d̪ˠ a ɡ uː
dtalamh	d̪ˠ a l̻ˠ uː
dtánag-sa	d̪ˠ aː n̻ˠ ə ɡ sˠ a
dtaobh	ˈ dʲ iː vˠ
dteannta	dʲ a n̻ˠ t̪ˠ ə
dtí	ˈ dʲ iː
dtigh	ˈ dʲ iː
dtineóntaithe	dʲ i nʲ oː n̻ˠ t̪ˠ iː
dtiocfadh	ˈ dʲ o k uː
dtráchtfá	d̪ˠ ɾˠ aː ɾˠ t̪ˠ aː
dtreo	ˈ dʲ ɾʲ oː
dtrí	dʲ ɾʲ iː
dtriúr	dʲ ɾʲ uː ɾˠ
dtrucail	d̪ˠ ɾˠ u k ə lʲ
dtugainn	d̪ˠ u ɡ ə n̻ʲ
dtugtar	d̪ˠ u ɡ t̪ˠ ə ɾˠ
dtuigfeadh	d̪ˠ i c uː
dtuigtí	d̪ˠ i ɟ tʲ iː
d'uaigneas	d̪ˠ ua ɟ nʲ ə sˠ
dúbh-chéalacan	d̪ˠ uː vˠ ç eː l̻ˠ ə k ə n̻ˠ
dubh	ˈ d̪ˠ uː
duibh	ˈ d̪ˠ i vʲ
dúil	ˈ d̪ˠ uː lʲ
duine	ˈ d̪ˠ i nʲ ə
dúinn	ˈ d̪ˠ uː n̻ʲ
dúirt	ˈ d̪ˠ uː ɾʲ tʲ
duit	ˈ d̪ˠ i tʲ
dul	ˈ d̪ˠ u l̻ˠ
dúnta	ˈ d̪ˠ uː n̻ˠ t̪ˠ ə
ea	ˈ a
éadaigh	ˈ eː d̪ˠ iː
éadain	ˈ eː d̪ˠ ə n̻ʲ
éad	ˈ eː d̪ˠ
eagal	ˈ o ɡ ə l̻ˠ
eagla	ˈ o ɡ l̻ˠ ə
éagóir	ˈ eː ɡ o ɾʲ
éagóra	eː ɡ oː ɾˠ ə
éalú	ˈ eː l̻ˠ uː
easaontas	ˈ a ˈ sˠ iː n̻ˠ t̪ˠ ə sˠ
é	ˈ eː
éigean	ˈ eː ɟ ə n̻ˠ
éigin	ˈ eː ɟ ə nʲ
éileamh	ˈ eː lʲ uː
eile	ˈ e lʲ ə
éirim	ˈ eː ɾʲ ə mʲ
Éirinn	ˈ eː ɾʲ ə n̻ʲ
éis	ˈ eː ʃ
eisean	ˈ e ʃ ə n̻ˠ
éisteacht	ˈ eː ʃ tʲ a x t̪ˠ
Eoghan	oː ə n̻ˠ
eolas	ˈ oː l̻ˠ ə sˠ
fada	ˈ fˠ a d̪ˠ ə
fad	ˈ fˠ a d̪ˠ
fadó	ˈ fˠ a d̪ˠ oː
fágadh	ˈ fˠ aː ɡ uː
fágfar	fˠ aː ɡ fˠ ə ɾˠ
fágtha	ˈ fˠ aː k ə
fáibrí	fˠ aː bʲ ɾʲ iː
faid	fˠ a dʲ
faille	fˠ a l̻ʲ ə
fáilteach	ˈ fˠ aː l̻ʲ tʲ a h
faire	ˈ fˠ a ɾʲ ə
fairsing	ˈ fˠ a ɾˠ ʃ ə ɲ
fanfaidh	fˠ a n̻̊ˠ iː
fás	ˈ fˠ aː sˠ
feabhas	ˈ fʲ au sˠ
feaca	fʲ a k ə
féachaint	ˈ fʲ eː x i nʲ tʲ
féach	ˈ fʲ eː h
féadadh	ˈ fʲ eː d̪ˠ uː
fead	ˈ fʲ a d̪ˠ
feadh	ˈ fʲ au
feall	ˈ fʲ a l̻ˠ
fearaibh	fʲ a ɾˠ ə vʲ
fear	ˈ fʲ a ɾˠ
féar	ˈ fʲ eː ɾˠ
fearr	ˈ fʲ aː ɾˠ
fé	fʲ eː
feiceadh	fʲ e c uː
féidir	ˈ fʲ eː dʲ ə ɾʲ
féin	ˈ h eː nʲ
feirme	fʲ e ɾʲ ə mʲ ə
feirm	ˈ fʲ e ɾʲ ə mʲ
feiscint	fʲ e ʃ c i nʲ tʲ
feitheamh	ˈ fʲ ai hʲ uː
fhada	ˈ a d̪ˠ ə
fhág	ˈ aː ɡ
fhaid	a dʲ
fhairsing	a ɾˠ ʃ i ɲ
fhanadh	a n̻ˠ uː
fhan	ˈ a n̻ˠ
fhásfaidh	aː sˠ iː
fheaca	a k ə
fhéachaint	eː h ə nʲ tʲ
fhéach	ˈ eː h
fhéadadh	eː d̪ˠ uː
fhéadaidís	eː d̪ˠ ə dʲ iː ʃ
fhéadainn	eː d̪ˠ ə n̻ʲ
fheadar	a d̪ˠ ə ɾˠ
fhéad	eː d̪ˠ
fhéadfadh	eː t̪ˠ uː
fhéadfainn	eː t̪ˠ ə n̻ʲ
fhear	ˈ a ɾˠ
fhearr	a ɾˠ
fhéidir	eː dʲ i ɾʲ
fhéir	ˈ eː ɾʲ
fheirm	e ɾʲ ə mʲ
fheoil	oː lʲ
fhios	ˈ i sˠ
fhir	i ɾʲ
fhiú	uː
fhocal	ˈ o k ə l̻ˠ
fholáir	a l̻ˠ a ɾʲ
fhonn	o n̻ˠ
fhreagair	ɾʲ i ɡ ə ɾʲ
fhreagairt	ɾʲ i ɡ ə ɾˠ tʲ
fhreagra	ˈ ɾʲ a ɡ ɾˠ ə
fhuachta	ua h t̪ˠ ə
fhuacht	ˈ ia x t̪ˠ
fial	ˈ fʲ ia l̻ˠ
fichead	ˈ fʲ i hʲ ə d̪ˠ
fiche	ˈ fʲ i ç ə
fichid	fʲ i hʲ i dʲ
file	ˈ fʲ i lʲ ə
fill	ˈ fʲ i l̻ʲ
fillte	fʲ i l̻ʲ tʲ ə
fíor	ˈ fʲ iː ɾˠ
fir	ˈ fʲ i ɾʲ
firín	fʲ i ɾʲ iː nʲ
fírinne	ˈ fʲ iː ɾʲ ə n̻ʲ ə
fiú	ˈ fʲ uː
fliuch	ˈ fʲ lʲ u h
flúirseach	ˈ fˠ l̻ˠ uː ɾˠ ʃ a h
focail	ˈ fˠ o k ə l̻ˠ
focal	ˈ fˠ o k ə l̻ˠ
foláine	fˠ a l̻ˠ aː nʲ ə
foláir	ˈ fˠ o ˈ l̻ˠ aː ɾʲ
folamh	ˈ fˠ o l̻ˠ uː
formhór	ˈ fˠ o ɾˠ vˠ o ɾˠ
fós	ˈ fˠ oː sˠ
Fraincise	fˠ ɾˠ a ɲ c i ʃ ə
Fraincis	fˠ ɾˠ a ɲ c i ʃ
fraoch	ˈ fˠ ɾˠ iː h
freagairt	fʲ ɾʲ i ɡ ə ɾˠ tʲ
freagra	ˈ fʲ ɾʲ a ɡ ɾˠ ə
fuaid	fˠ ua dʲ
fuair	ˈ fˠ ua ɾʲ
fuar	ˈ fˠ ia ɾˠ
fuat	fˠ ua t̪ˠ
fuath	ˈ fˠ ia
fuinneamh	ˈ fˠ i n̻ʲ uː
fuinnimh	fˠ i n̻ʲ i vʲ
gabhadh	ɡ oː ɣ
gabháil	ˈ ɡ o lʲ
gabhair	ˈ ɡ oː ɾʲ
gabhar	ˈ ɡ au ɾˠ
gach	ˈ ɡ a h
gadhar	ˈ ɡ ai ɾˠ
Gaeil	ˈ ɡ eː lʲ
Gaelacha	ɡ eː l̻ˠ a h ə
Gael	ˈ ɡ eː l̻ˠ
gairbhéal	ˈ ɡ a ɾʲ ə vʲ eː l̻ˠ
gairbhéil	ɡ a ɾʲ ə vʲ e lʲ
gairdín	ˈ ɡ aː ɾˠ dʲ i nʲ
gáire	ˈ ɡ aː ɾʲ ə
gáirí	ɡ aː ɾʲ iː
gairid	ˈ ɡ a ɾʲ ə dʲ
gais	ɡ a ʃ
galánta	ˈ ɡ a l̻ˠ a n̻ˠ t̪ˠ ə
galar	ɡ a l̻ˠ ə ɾˠ
galúinín	ɡ o l̻ˠ uː nʲ iː nʲ
galún	ˈ ɡ o l̻ˠ u n̻ˠ
gan	ˈ ɡ a n̻ˠ
gandail	ɡ a n̻ˠ d̪ˠ ə lʲ
gandal	ˈ ɡ a n̻ˠ d̪ˠ ə l̻ˠ
gaol	ˈ ɡ iː l̻ˠ
garaidhthibh	ɡ a ɾˠ ai hʲ i vʲ
garbh	ˈ ɡ a ɾˠ ə vˠ
garraí	ˈ ɡ a ɾˠ iː
garraithe	ɡ a ɾˠ iː
garsúinín	ɡ a ɾˠ sˠ uː nʲ iː nʲ
garsún	ˈ ɡ a ɾˠ sˠ u n̻ˠ
gasra	ˈ ɡ a sˠ ɾˠ ə
gcaidhséar	ɡ ai ʃ a ɾˠ
gcailíní	ɡ a lʲ iː nʲ iː
gcaint	ɡ a nʲ tʲ
gcaisleán	ɡ a ʃ lʲ a n̻ˠ
gcaitear	ɡ a tʲ ə ɾˠ
gcaitheamh	ˈ ɡ ai hʲ uː
gcaithfeadh	ˈ ɡ ai hʲ uː
gcara	ɡ a ɾˠ ə
gcaraigreach	ɡ a ɾˠ ə ɟ ɾʲ a h
gcarraig	ɡ a ɾˠ ə ɟ
gcasadh	ɡ a sˠ uː
gcás	ɡ aː sˠ
gceachtana	ɟ a ɾˠ t̪ˠ ə n̻ˠ ə
gceacht	ɟ a ɾˠ t̪ˠ
gcéad	ɟ eː d̪ˠ
gcéadta	ɟ eː t̪ˠ ə
gceannas	ɟ a n̻ˠ ə sˠ
gceann	ˈ ɟ i n̻ˠ
gceart	ˈ ɟ a ɾˠ t̪ˠ
gceist	ˈ ɟ e ʃ tʲ
gcine	ɟ i nʲ ə
gcionn	ˈ ɟ o n̻ˠ
gcíos	ɟ iː sˠ
gcirt	ɟ i ɾˠ tʲ
gclár	ɡ l̻ˠ aː ɾˠ
gcloch	ɡ l̻ˠ o h
gcnoc	ɡ n̻ˠ o k
gcnuicín	ɡ n̻ˠ i c iː nʲ
gcogaí	ɡ o ɡ iː
gcóir	ɡ oː ɾʲ
gcoláiste	ɡ a l̻ˠ aː ʃ tʲ ə
gcomhaireamh	ɡ oː ɾʲ uː
gcomparáid	ɡ o mˠ pˠ ə ɾˠ a dʲ
gcónaí	ˈ ɡ oː n̻ˠ iː
gcorp	ˈ ɡ o ɾˠ pˠ
gcreideamh	ɟ ɾʲ e dʲ uː
gcrích	ɟ ɾʲ iː ç
gcrochfaí	ɡ ɾˠ o h fˠ iː
gcró	ˈ ɡ ɾˠ oː
gcuid	ˈ ɡ i dʲ
gcúig	ɡ uː ɟ
gcuimhne	ɡ i vʲ nʲ ə
gcúinne	ˈ ɡ u n̻ʲ ə
gcuirfeadh	ˈ ɡ u ɾʲ hʲ uː
gcúl	ɡ uː l̻ˠ
gcuma	ɡ u mˠ ə
geala	ˈ ɟ a l̻ˠ ə
geall	ˈ ɟ a l̻ˠ
gearachaile	ɟ a ɾˠ ə h ə lʲ ə
géara	ɟ eː ɾˠ ə
géarchúiseach	ˈ ɟ eː ɾˠ h uː ʃ a h
géar	ˈ ɟ eː ɾˠ
geimhrigh	ˈ ɟ e vʲ ɾʲ iː
géire	ˈ ɟ eː ɾʲ ə
ghabháil	ˈ ɣ o lʲ
ghabhar	ɣ oː ɾˠ
gháir	ˈ ɣ aː ɾʲ
ghairbéal	ɣ a ɾʲ ə bʲ a l̻ˠ
ghairbhéal	ɣ a ɾʲ ə vʲ a l̻ˠ
gháire	ˈ ɣ aː ɾʲ ə
gháirí	ɣ aː ɾʲ iː
gháiridís	ɣ aː ɾʲ i dʲ iː ʃ
ghairm	ɣ a ɾʲ ə mʲ
ghalar	ɣ a l̻ˠ ə ɾˠ
ghana-chúiseach	ɣ a n̻ˠ ə h uː ʃ a h
ghandail	ɣ a n̻ˠ d̪ˠ ə lʲ
gharbh	ɣ a ɾˠ ə vˠ
gharraí	ˈ ɣ a ɾˠ iː
gharsúin	ɣ a ɾˠ sˠ u nʲ
gharsún	ɣ a ɾˠ sˠ u n̻ˠ
ghas	ɣ a sˠ
ghealacán	j a l̻ˠ ə k a n̻ˠ
gheall	ˈ j a l̻ˠ
ghearfadh	j a ɾ̥ˠ uː
ghé	j eː
ghiora	j i ɾˠ ə
ghiorra	j i ɾˠ ə
ghlacadh	ˈ ɣ l̻ˠ a k uː
ghlacaidís	ɣ l̻ˠ a k ə dʲ iː ʃ
ghlacfaidís	ɣ l̻ˠ a k ə dʲ iː ʃ
ghlais	ˈ ɣ l̻ˠ a ʃ
ghlanadh	ˈ ɣ l̻ˠ a n̻ˠ uː
ghlan	ˈ ɣ l̻ˠ a n̻ˠ
ghlór	ɣ l̻ˠ oː ɾˠ
ghluais	ɣ l̻ˠ ua ʃ
ghlúin	ɣ l̻ˠ uː nʲ
ghlún	ɣ l̻ˠ uː n̻ˠ
ghnímh	j nʲ iː vʲ
ghníomh	j nʲ iː vˠ
ghnó	ɣ n̻ˠ oː
ghnúis	ˈ ɣ ɾˠ uː ʃ
ghoileadar	ɣ o lʲ ə d̪ˠ ə ɾˠ
ghoile	ɣ o lʲ ə
ghoill	ɣ o l̻ʲ
ghráin	ɣ ɾˠ aː nʲ
ghrámhar	ɣ ɾˠ aː vˠ ə ɾˠ
ghránna	ɣ ɾˠ aː n̻ˠ ə
ghreim	j ɾʲ e mʲ
ghualainn	ˈ ɣ ua l̻ˠ ə n̻ʲ
ghunna	ɣ u n̻ˠ ə
ghustal	ɣ u sˠ t̪ˠ ə l̻ˠ
glan	ˈ ɡ l̻ˠ a n̻ˠ
glaoch	ˈ ɡ l̻ˠ iː h
glaoite	ɡ l̻ˠ iː tʲ ə
glasa	ˈ ɡ l̻ˠ a sˠ ə
glas	ˈ ɡ l̻ˠ a sˠ
gléigeal	ˈ ɟ lʲ eː ɟ ə l̻ˠ
gléineach	ˈ ɟ lʲ eː nʲ a h
glúin	ˈ ɡ l̻ˠ uː nʲ
glún	ˈ ɡ l̻ˠ uː n̻ˠ
gnáth	ˈ ɡ aː
gníomhartha	ɟ nʲ iː vˠ ə ɾ̥ˠ ə
gníomh	ˈ ɟ ɾʲ iː vˠ
gnó	ˈ ɡ ɾˠ oː
go	ˈ ɡ ə
goile	ˈ ɡ i lʲ ə
gol	ɡ a l̻ˠ
gorta	ˈ ɡ o ɾˠ t̪ˠ ə
gort	ˈ ɡ o ɾˠ t̪ˠ
gráinne	ˈ ɡ ɾˠ aː n̻ʲ ə
greim	ˈ ɟ ɾʲ i mʲ
gruth	ˈ ɡ ɾˠ u h
gura	ˈ ɡ u ɾˠ ə
gurb	ˈ ɡ a ɾˠ ə bˠ
gurbh	ɡ u ɾˠ ə vˠ
gur	ˈ ɡ ə ɾˠ
gustal	ˈ ɡ u sˠ t̪ˠ ə l̻ˠ
h-airightí	h a ɾʲ iː tʲ iː
háite	h aː tʲ ə
háit	h aː tʲ
hálainn	h aː l̻ˠ ə n̻ʲ
hamháin	h au a nʲ
hana	h a n̻ˠ ə
hanam	ˈ h a n̻ˠ ə mˠ
h-anspianta	h a nʲ ʃ pʲ ia n̻ˠ t̪ˠ ə
haon	ˈ h e n̻ˠ
hardaíodh	h a ɾˠ d̪ˠ iː uː
hathair	h a h ə ɾʲ
hathar	h a h ə ɾˠ
hathbhliana	h a hʲ vʲ lʲ ia n̻ˠ ə
héagóra	hʲ eː ɡ oː ɾˠ ə
héagruas	hʲ eː ɡ ɾˠ ua sˠ
hea	ˈ h a
héilíodh	hʲ eː lʲ iː uː
hÉireann	ˈ h eː ɾʲ ə n̻ˠ
hÉirinn	hʲ eː ɾʲ i n̻ʲ
héitheach	hʲ eː ç a h
hIcí	hʲ i c iː
h-ínnseadh	h iː n̻ʲ ʃ uː
hoíche	ˈ h iː hʲ ə
h-oídhcheanta	h iː j ç ə n̻ˠ t̪ˠ ə
holc	h a l̻ˠ k
huacht	h ua h t̪ˠ
huafás	h ua fˠ a sˠ
huaire	ˈ h ua ɾʲ ə
huair	h ua ɾʲ
huaisle	h ua ʃ lʲ ə
hullamh	h u l̻ˠ uː
iad	ˈ ia d̪ˠ
iadsan	ia d̪ˠ sˠ ə n̻ˠ
iarainn	ia ɾˠ ə n̻ʲ
iarracht	ˈ ia ɾˠ a x t̪ˠ
iarraidh	ˈ ia ɾˠ iː
iasachta	ia sˠ ə ɾˠ t̪ˠ ə
Icí	i c iː
idir	ˈ i dʲ ə ɾʲ
i	ˈ i
í	ˈ iː
imeacht	ˈ i mʲ a x t̪ˠ
ime	i mʲ ə
imigéiniúla	i mʲ i ɟ eː nʲ uː l̻ˠ ə
im	ˈ i mʲ
in	ˈ i nʲ
iniúchadh	ˈ i nʲ u h uː
inti	ˈ i n̻ʲ tʲ iː
iomarca	ˈ i mˠ ə ɾˠ k ə
ionam	ˈ i n̻ˠ ə mˠ
iothlainn	ˈ i h l̻ˠ ə n̻ʲ
íseal	iː ʃ ə l̻ˠ
is	ˈ i sˠ
isteach	i ʃ ˈ tʲ a h
istigh	i sˠ ˈ t̪ˠ i j
ithe	ˈ i hʲ ə
ith	i hʲ
labhair	ˈ l̻ˠ oː ɾʲ
labhairt	ˈ l̻ˠ oː ɾʲ tʲ
labhartha	l̻ˠ oː ɾ̥ˠ ə
lae	ˈ l̻ˠ eː
laethanta	ˈ l̻ˠ eː h ə n̻ˠ t̪ˠ ə
lagachar	ˈ l̻ˠ a ɡ a h ə ɾˠ
lag	ˈ l̻ˠ a ɡ
láidir	ˈ l̻ˠ aː dʲ ə ɾʲ
laige	ˈ l̻ˠ a ɟ ə
láimh	ˈ l̻ˠ aː vʲ
láimhseáil	ˈ l̻ˠ aː vʲ ʃ a lʲ
laistiar	ˈ l̻ˠ a ʃ tʲ ia ɾˠ
laistigh	ˈ l̻ˠ a ʃ tʲ iː
láithreach	ˈ l̻ˠ aː hʲ ɾʲ a h
lá	ˈ l̻ˠ aː
lámhach	ˈ l̻ˠ aː vˠ a h
lámha	ˈ l̻ˠ aː vˠ ə
lámhfad	l̻ˠ aː vˠ fˠ ə d̪ˠ
lámh	ˈ l̻ˠ aː vˠ
lán	ˈ l̻ˠ aː n̻ˠ
laoghaire	l̻ˠ iː ə ɾʲ ə
lár	ˈ l̻ˠ aː ɾˠ
lasadh	ˈ l̻ˠ a sˠ uː
lastoir	ˈ l̻ˠ a sˠ t̪ˠ o ɾʲ
lastuaidh	ˈ l̻ˠ a sˠ t̪ˠ ua j
láthair	ˈ l̻ˠ aː h i ɾʲ
leaba	ˈ l̻ʲ a bˠ iː
leabhair	ˈ l̻ʲ oː ɾʲ
leabhar	ˈ l̻ʲ oː ə ɾˠ
leagadh	ˈ l̻ʲ a ɡ uː
leanadar	lʲ a n̻ˠ ə d̪ˠ ə ɾˠ
leanadh	lʲ a n̻ˠ uː
leanbh	ˈ l̻ʲ a n̻ˠ ə vˠ
lean	ˈ lʲ a n̻ˠ
léas	ˈ l̻ʲ eː sˠ
leathadh	ˈ l̻ʲ a h uː
leathan	ˈ l̻ʲ a h ə n̻ˠ
leath-bhata	lʲ a h vˠ a t̪ˠ ə
leath-bhfabhar	lʲ a h vˠ fˠ oː ɾˠ
leath	ˈ l̻ʲ a h
leat	ˈ lʲ a t̪ˠ
leictheacht	lʲ e c a ɾˠ t̪ˠ
léi	ˈ lʲ eː
léim	ˈ l̻ʲ eː mʲ
léir	ˈ l̻ʲ eː ɾʲ
léirscrios	ˈ l̻ʲ eː ɾʲ ʃ c ɾʲ i sˠ
léis	lʲ eː ʃ
leis	ˈ lʲ i ʃ
leithéid	ˈ l̻ʲ eː hʲ i dʲ
leith	ˈ l̻ʲ e hʲ
leithscéal	ˈ l̻ʲ e ʃ c e l̻ˠ
leithscéil	lʲ ai ç ʃ c e lʲ
le	ˈ lʲ e
lena	ˈ lʲ e n̻ˠ ə
leo	ˈ lʲ oː
liathróidí	lʲ ia ɾˠ oː dʲ iː
liathróidín	lʲ ia ɾˠ oː dʲ iː nʲ
liathróid	ˈ l̻ʲ ia h ɾˠ o dʲ
lín	lʲ iː nʲ
linn	ˈ lʲ i n̻ʲ
liom	ˈ lʲ o mˠ
líon	ˈ l̻ʲ iː n̻ˠ
líonmhara	lʲ iː n̻ˠ vˠ ə ɾˠ ə
liúireach	ˈ l̻ʲ uː ɾʲ a h
liú	ˈ l̻ʲ uː
lobhadh	ˈ l̻ˠ oː vˠ
loch	ˈ l̻ˠ a h
loingeas	ˈ l̻ˠ o ɲ ɟ ə sˠ
lóistín	ˈ l̻ˠ oː ʃ tʲ i nʲ
loit	ˈ l̻ˠ o tʲ
loma	ˈ l̻ˠ o mˠ ə
lom	l̻ˠ o mˠ
long	ˈ l̻ˠ o ŋ
lorg	ˈ l̻ˠ a ɾˠ ə ɡ
luath	ˈ l̻ˠ ua
luigh	ˈ l̻ˠ i j
lú	ˈ l̻ˠ uː
Lúnasa	ˈ l̻ˠ uː n̻ˠ ə sˠ ə
lútáil	ˈ l̻ˠ uː t̪ˠ a lʲ
macántacht	ˈ mˠ a k a n̻ˠ t̪ˠ a x t̪ˠ
macánta	ˈ mˠ a k a n̻ˠ t̪ˠ ə
mac	ˈ mˠ a k
magaidh	mˠ a ɡ iː
maidin	ˈ mˠ a dʲ i n̻ʲ
m'aigne	mˠ a ɟ nʲ ə
maíomh	ˈ mˠ iː vˠ
maireadh	ˈ mˠ a ɾʲ uː
maireann	mˠ a ɾʲ ə n̻ˠ
mairfidh	mˠ a ɾ̥ʲ iː
máistir	ˈ mˠ aː ʃ tʲ ə ɾʲ
maith	ˈ mˠ a hʲ
má	ˈ mˠ a
mám	ˈ mˠ aː mˠ
maraíodh	mˠ a ɾˠ iː uː
marbh	ˈ mˠ a ɾˠ ə vˠ
marcaíocht	ˈ mˠ a ɾˠ k iː a x t̪ˠ
mar	ˈ mˠ a ɾˠ
marú	ˈ mˠ a ɾˠ uː
más	ˈ mˠ aː sˠ
m'athair	ˈ mˠ a h ə ɾʲ
máthair	ˈ mˠ aː h ə ɾʲ
mathairse	mˠ a h ə ɾˠ ʃ ə
m'athar	ˈ mˠ a h ə ɾˠ
mbáfaí	mˠ aː fˠ iː
mbaile	ˈ mˠ a lʲ ə
mbainfí	mˠ a nʲ ə fʲ iː
mbainne	mˠ a n̻ʲ ə
mba	ˈ mˠ ə
mban	ˈ mˠ a n̻ˠ
mbara	mˠ a ɾˠ ə
mbata	mˠ a t̪ˠ ə
mbéad	mʲ eː d̪ˠ
mbeag	mʲ i ɡ
mbeatha	mʲ a h ə
mbeidh	ˈ mˠ eː
mbeirt	ˈ mʲ e ɾʲ tʲ
mb'fhéidir	mʲ eː dʲ i ɾʲ
mbínn	mʲ iː n̻ʲ
mbíodh	ˈ mʲ uː
mbliana	ˈ mʲ lʲ ia n̻ˠ ə
mbocht	mˠ o ɾˠ t̪ˠ
mbó	mˠ oː
mbord	mˠ oː ɾˠ d̪ˠ
mbothán	mˠ a h a n̻ˠ
mbóthar	mˠ oː h ə ɾˠ
mbraon	mˠ ɾˠ iː n̻ˠ
mbrí	mʲ ɾʲ iː
mbuí	mˠ iː
meadhg	ˈ mʲ eː ɡ
mealladh	ˈ mʲ o l̻ˠ uː
mearaí	ˈ mʲ a ɾˠ iː
measaim	mʲ a sˠ ə mʲ
measa	ˈ mʲ a sˠ ə
meascán	ˈ mʲ a sˠ k a n̻ˠ
measc	ˈ mʲ a sˠ k
meas	ˈ mʲ a sˠ
meathán	ˈ mʲ a h a n̻ˠ
meathlú	mʲ a h l̻ˠ uː
meat	mʲ a t̪ˠ
méid	ˈ mʲ eː dʲ
mé	ˈ mʲ eː
mhac	ˈ vˠ a k
mhaidin	ˈ vˠ a dʲ i n̻ʲ
mhairbh	vˠ a ɾʲ ə vʲ
mhaireadh	vˠ a ɾʲ uː
mhair	vˠ a ɾʲ
mhaise	ˈ vˠ a ʃ ə
mháistiribh	vˠ aː ʃ tʲ i ɾʲ i vʲ
mháistir	ˈ vˠ aː ʃ tʲ i ɾʲ
mhaithe	ˈ vˠ ai hʲ ə
mhaith	ˈ vˠ ai hʲ
mhalairt	vˠ a l̻ˠ ə ɾˠ tʲ
mháthair	ˈ vˠ aː h ə ɾʲ
mháthar-sa	vˠ aː h ə ɾˠ sˠ a
mháthar	vˠ aː h ə ɾˠ
mheabhair	vʲ oː ɾʲ
mhéar	vʲ eː ɾˠ
mheas	vʲ a sˠ
mhéid	ˈ vʲ eː dʲ
mhíle	vʲ iː lʲ ə
mhinic	ˈ vʲ i nʲ i c
mhion	vʲ i n̻ˠ
mhiste	ˈ vʲ i ʃ tʲ ə
mhí	ˈ vʲ iː
mhná	vˠ n̻ˠ aː
mhóra	vˠ oː ɾˠ ə
mhór	ˈ vˠ oː ɾˠ
mhó	ˈ vˠ oː
mhúineadh	ˈ vˠ uː nʲ uː
mhuineál	ˈ vˠ i nʲ a l̻ˠ
mhuintir	ˈ vˠ i tʲ i ɾʲ
mhuin	ˈ vˠ i nʲ
mhullach	ˈ vˠ u l̻ˠ a h
mí-fholáin	mˠ iː o l̻ˠ a nʲ
míle	ˈ mʲ iː lʲ ə
mílte	mʲ iː lʲ tʲ ə
mí	ˈ mʲ iː
minic	ˈ mʲ i nʲ i c
miona	mʲ i n̻ˠ ə
mion	ˈ mʲ i n̻ˠ
mion-uaisle	mʲ i n̻ˠ ua ʃ lʲ ə
mion-uaislibh	mʲ i n̻ˠ ua ʃ lʲ i vʲ
mise	ˈ mʲ i ʃ ə
mná	ˈ mˠ ɾˠ aː
mo	ˈ mˠ ə
móra	ˈ mˠ oː ɾˠ ə
mórán	ˈ mˠ oː ɾˠ a n̻ˠ
mór	ˈ mˠ oː ɾˠ
múchta	mˠ uː ɾˠ t̪ˠ ə
múineadh	ˈ mˠ uː nʲ uː
múinte	ˈ mˠ uː n̻ʲ tʲ ə
múintí	mˠ uː nʲ tʲ iː
muintir	ˈ mˠ i tʲ i ɾʲ
murabh	mˠ u ɾˠ oː
murab	ˈ mˠ u ɾˠ ə bˠ
mura	ˈ mˠ u ɾˠ ə
murar	mˠ u ɾˠ ə ɾˠ
nach	ˈ n̻ˠ a h
n-achrann	n̻ˠ a h ɾˠ ə n̻ˠ
n-aghaidh	n̻ˠ eː iː
nAifric	n̻ˠ a fʲ ɾʲ i c
n-aigne	n̻ˠ a ɟ nʲ ə
náire	ˈ n̻ˠ aː ɾʲ ə
n-ais	n̻ˠ a sˠ
n-áit	n̻ˠ aː t̪ˠ
namhad	ˈ n̻ˠ a vˠ ə d̪ˠ
namhaid	ˈ n̻ˠ au dʲ
n-am	ˈ n̻ˠ aː mˠ
ná	ˈ n̻ˠ aː
n-anam	ˈ n̻ˠ a n̻ˠ ə mˠ
na	ˈ n̻ˠ ə
n-aoibhneas	n̻ˠ iː vʲ nʲ ə sˠ
naoi	ˈ n̻ˠ iː
naomh	ˈ n̻ˠ iː vˠ
nárbh	ˈ n̻ˠ a ɾˠ ə vˠ
n-ar	n̻ˠ a ɾˠ
n-ár	n̻ˠ aː ɾˠ
nár	ˈ n̻ˠ aː ɾˠ
ndaoine	ˈ n̻ˠ iː nʲ i
ndéanamh	ˈ nʲ eː n̻ˠ uː
ndéanfadh	ˈ nʲ eː n̻ˠ h uː
ndéanfaí	nʲ eː n̻ˠ fˠ iː
ndéarfadh	nʲ eː ɾ̥ˠ uː
ndear	nʲ a ɾˠ
ndeigheadar	nʲ eː ə d̪ˠ ə ɾˠ
ndeirtí	nʲ e ɾˠ tʲ iː
ndiúltuighdís	nʲ uː l̻ˠ t̪ˠ ə j dʲ iː ʃ
nduine	n̻ˠ i nʲ ə
neamhamhgarach	nʲ au vˠ ɡ ə ɾˠ a h
neamhchiontacht	nʲ au ç i n̻ˠ t̪ˠ a ɾˠ t̪ˠ
neamhscáfar	nʲ au sˠ k aː fˠ ə ɾˠ
neamhshlacht	nʲ au h l̻ˠ a ɾˠ t̪ˠ
neamhspleadhac	nʲ au ʃ pʲ lʲ ai ə k
neart	ˈ nʲ a ɾˠ t̪ˠ
ngadhar	ŋ eː ɾˠ
nGael	ˈ ŋ eː l̻ˠ
