* 'dh eadh: dhea
* d'iompuigh: d'iompaigh
* d'iompuighdar: d'iompaíodar
* d'iompuigheadar: d'iompaíodar
* d'iongnadh: d'ionadh
* d'oibrigheadh: d'oibríodh
* d'ollamhughadh: d'ullmhú
* d'osgail: d'oscail
* d'osgailt: d'oscailt
* d'á: dá
* d'ár: dár
* d'árdughadh: d'ardú
* d'árduig: d'ardaigh
* d'árduigh: d'ardaigh
* d'éaluigh: d'éalaigh
* d'éaluigheas: d'éalaíos
* d'éirigheadar: d'éiríodar
* d'ínsint: d'insint
* dTagartar: dTagraítear
* dachad: daichead
* daingion: daingean
* daona: daonna
* daor-bhruid: daorbhroid
* daoíne: daoine
* darab: darb
* dathamhail: dathúil
* de'n: den
* deagh-bhéasa: dea-bhéasa
* deagh-chroídheach: dea-chroíoch
* deagh-iompair: dea-iompair
* deallramh: dealramh
* dearbh-bhráthair: deartháir
* dearbhbhráthair: deartháir
* dearbhráthair: deartháir
* dearbhughadh: dearbhú
* dearg-bhuile: deargbhuile
* dearg-lasadh: dearglasadh
* dearg-ruathar: deargruathar
* deichmhadh: deichiú
* deichniubhar: deichniúr
* deifrigheacht: difríocht
* deifrígheachta: difríochta
* deimhnightheach: deimhneach
* deirbhshiúr: deirfiúr
* deirbhshéir: deirfiúr
* deire: deireadh
* deiridh: deireadh
* deirim-se: deirimse
* deisbhéalaighe: deisbhéalaí
* deisbhéalaíghe: deisbhéalaí
* deug: déag
* deunamh: déanamh
* deunta: déanta
* deurfadh: déarfadh
* deurfaidh: déarfaidh
* deurfainn: déarfainn
* deurfar: déarfar
* deó: deo
* de’n: den
* dfhéadfá: d’fhéadfá
* dh'fhan: d'fhan
* dh'fhoghlaim: d'fhoghlaim
* dh'fhéadfadh: d'fhéadfadh
* dh'iompóch': d'iompódh
* dhaingniughadh: dhaingniú
* dhaor-smacht: dhaorsmacht
* dhaorbhruid: dhaorbhroid
* dhaoíne: dhaoine
* dhathamhail: dhathúil
* dhealbhuigh: dhealbhaigh
* dhearbh-bhráthair: dheartháir
* dhearbhbhráthair: dheartháir
* dhearbhráthair: dheartháir
* dhearbhuigh: dhearbhaigh
* dhearbhúghadh: dhearbhú
* dheimhniughadh: dheimhniú
* dheirbhshéir: dheirfiúr
* dheire: dheireadh
* dheiridh: dheireadh
* dheunamh: dhéanamh
* dheunfadh: dhéanfadh
* dheóir: dheoir
* dheór: dheor
* dhiaigh: dhiaidh
* dhiúltuigh: dhiúltaigh
* dhlígh: dhlí
* dhlúithte: dhlúite
* dhoruis: dhorais
* dhorus: dhoras
* dhrangháire: dhranngháire
* dhrangháirí: dhranngháirí
* dhruim: dhroim
* dhubhuigh: dhubhaigh
* dhuileabhar: dhuilliúr
* dhé: dhe
* dhéanaighe: dhéanaí
* dhéanam: dhéanamh
* dhéanfaimíd: dhéanfaimid
* dhéanfaimís: dhéanfaimis
* dhéanfainn-se: dhéanfainnse
* dhéanfá-sa: dhéanfása
* dhíbh: dhaoibh
* dhícheal: dhícheall
* dhíchil: dhíchill
* dhíolmhadh: dhíolmhú
* dhíot-sa: dhíotsa
* dhísgiughadh: dhísciú
* dhóich: dhóigh
* dhóithin: dhóthain
* dhúthchas: dhúchas
* dh’fhéadfadh: d’fhéadfadh
* di-se: dise
* dian-leathadh: dianleathadh
* diúltughadh: diúltú
* dlighe: dlí
* dlighthe: dlíthe
* dlígh: dlí
* dlíghe: dlí
* dlúithte: dlúite
* dlúth-cheangal: dlúthcheangal
* do réir: de réir
* do'n: don
* do-shásta: doshásta
* doicheal: doicheall
* domh-sa: domsa
* doruis: dorais
* dorus: doras
* do’n: don
* drangháire: dranngháire
* drangháirí: dranngháirí
* drantúghadh: drantú
* draoidheacht: draíocht
* droch aicme: drochaicme
* droch aigeanta: drochaigeanta
* droch aigne: drochaigne
* droch amhras: drochamhras
* droch bheart: drochbheart
* droch dhuine: drochdhuine
* droch ghníomhartha: drochghníomhartha
* droch iontaoibh: drochiontaoibh
* droch mheas: drochmheas
* droch mhúineadh: drochmhúineadh
* droch mhúinte: drochmhúinte
* droch obair: drochobair
* droch sheasamh: drochsheasamh
* droch-mhúinte: drochmhúinte
* droch-rud: drochrud
* droch-sheasamh: drochsheasamh
* dronnaighe: dronnaí
* dtabharfainn-se: dtabharfainnse
* dtagaidh: dtaga
* dtagan: dtagann
* dtagartar: dtagraítear
* dtaidhbhreamh: dtaibhreamh
* dtaithighe: dtaithí
* dteach-sa: dteachsa
* dteangthacha: dteangacha
* dteanta: dteannta
* dteighlach: dteaghlach
* dtosnuightear: dtosaítear
* dtreó: dtreo
* dtuairisgí: dtuairiscí
* dtugaidh: dtuga
* dtugainn-se: dtugainnse
* dtugan: dtugann
* dtuigean: dtuigeann
* dtuisgint: dtuiscint
* dtusach: dtosach
* dtéigheann: dtéann
* dtíncéir: dtincéir
* dtúirní: dtuirní
* dubhairt: dúirt
* dubhradar: dúradar
* dubrónach: dobrónach
* duilleabhar: duilliúr
* duit-se: duitse
* dáltha: dála
* déanaighe: déanaí
* déarca: déirce
* déarfainn-se: déarfainnse
* déidheanach: déanach
* déidheanaighe: déanaí
* dí: di
* dícheal: dícheall
* díchealach: dícheallach
* díghe: dí
* dínnéar: dinnéar
* díoghaltas: díoltas
* díoghbháil: díobháil
* díoluigheachta: díolaíochta
* díom-sa: díomsa
* díomhaoín: díomhaoin
* díot-sa: díotsa
* díriughadh: díriú
* dó-dhéag: dó dhéag
* dó-san: dósan
* dódhéag: dó dhéag
* dóibh-sin: dóibh sin
* dóich: dóigh
* dóichíghe: dóichí
* dóighte: dóite
* dóirne: doirne
* dóirse: doirse
* dómh-sa: domsa
* dúbhach: dubhach
* dúbhairt: dúirt
* dúbhradh: dúradh
* dúrthachtach: dúthrachtach
* dúthchais: dúchais
* d’ aoís: d’aois
* d’ atharughadh: d’athrú
* d’ eirigh: d’éirigh
* d’ eirigheadar: d’éiríodar
* d’ fhagháil: d’fháil
* d’ fheuch: d’fhéach
* d’ fhághail: d’fháil
* d’ imthig: d’imigh
* d’ imthigh: d’imigh
* d’ imthigheadar: d’imíodar
* d’ imthigheadh: d’imíodh
* d’ innis: d’inis
* d’ innsint: d’insint
* d’ iompuigh: d’iompaigh
* d’ iompuighdar: d’iompaíodar
* d’ iompuigheadar: d’iompaíodar
* d’ iongnadh: d’ionadh
* d’ oibrigheadh: d’oibríodh
* d’ á: dá
* d’ ár: dár
* d’ árdughadh: d’ardú
* d’ árduig: d’ardaigh
* d’ árduigh: d’ardaigh
* d’ éaluigh: d’éalaigh
* d’ éaluigheas: d’éalaíos
* d’admhuigh: d’admhaigh
* d’airigheadar: d’airíodar
* d’airigheadh: d’airíodh
* d’airighinn: d’airínn
* d’aithnighinn: d’aithnínn
* d’aoís: d’aois
* d’atharughadh: d’athrú
* d’athrughadh: d’athrú
* d’athruigh: d’athraigh
* d’eirigh: d’éirigh
* d’eirigheadar: d’éiríodar
* d’fhaduigh: d’fhadaigh
